Claim ID: 1 	|| Coords.: 151,671 	|| Size: 11x15
Claim ID: 63 	|| Coords.: 70,744 	|| Size: 20x24
Claim ID: 64 	|| Coords.: 340,424 	|| Size: 23x22
Claim ID: 65 	|| Coords.: 496,949 	|| Size: 13x22
Claim ID: 66 	|| Coords.: 40,238 	|| Size: 11x12
Claim ID: 67 	|| Coords.: 376,585 	|| Size: 11x23
Claim ID: 68 	|| Coords.: 244,541 	|| Size: 21x15
Claim ID: 69 	|| Coords.: 910,404 	|| Size: 19x24
Claim ID: 70 	|| Coords.: 536,355 	|| Size: 22x21
Claim ID: 71 	|| Coords.: 476,606 	|| Size: 11x21
Claim ID: 72 	|| Coords.: 320,601 	|| Size: 29x29
Claim ID: 73 	|| Coords.: 682,407 	|| Size: 13x28
Claim ID: 74 	|| Coords.: 434,923 	|| Size: 24x13
Claim ID: 75 	|| Coords.: 256,708 	|| Size: 16x23
Claim ID: 76 	|| Coords.: 901,912 	|| Size: 13x16
Claim ID: 77 	|| Coords.: 237,43 	|| Size: 13x25
Claim ID: 78 	|| Coords.: 533,655 	|| Size: 18x22
Claim ID: 79 	|| Coords.: 338,415 	|| Size: 28x11
Claim ID: 80 	|| Coords.: 138,285 	|| Size: 28x29
Claim ID: 81 	|| Coords.: 630,329 	|| Size: 16x19
Claim ID: 82 	|| Coords.: 883,608 	|| Size: 27x15
Claim ID: 83 	|| Coords.: 110,227 	|| Size: 25x26
Claim ID: 84 	|| Coords.: 821,741 	|| Size: 24x15
Claim ID: 85 	|| Coords.: 753,928 	|| Size: 12x18
Claim ID: 86 	|| Coords.: 719,906 	|| Size: 10x23
Claim ID: 87 	|| Coords.: 564,134 	|| Size: 19x27
Claim ID: 88 	|| Coords.: 966,561 	|| Size: 26x27
Claim ID: 89 	|| Coords.: 54,229 	|| Size: 13x29
Claim ID: 90 	|| Coords.: 726,494 	|| Size: 23x27
Claim ID: 91 	|| Coords.: 502,964 	|| Size: 15x16
Claim ID: 92 	|| Coords.: 84,2 	|| Size: 24x26
Claim ID: 93 	|| Coords.: 985,793 	|| Size: 4x11
Claim ID: 94 	|| Coords.: 650,402 	|| Size: 10x16
Claim ID: 95 	|| Coords.: 46,968 	|| Size: 22x24
Claim ID: 96 	|| Coords.: 505,44 	|| Size: 26x19
Claim ID: 97 	|| Coords.: 972,395 	|| Size: 12x27
Claim ID: 98 	|| Coords.: 32,348 	|| Size: 24x23
Claim ID: 99 	|| Coords.: 635,596 	|| Size: 21x13
Claim ID: 100 	|| Coords.: 129,97 	|| Size: 21x23
Claim ID: 101 	|| Coords.: 621,134 	|| Size: 11x13
Claim ID: 102 	|| Coords.: 843,412 	|| Size: 27x19
Claim ID: 103 	|| Coords.: 801,678 	|| Size: 29x11
Claim ID: 104 	|| Coords.: 870,178 	|| Size: 11x24
Claim ID: 105 	|| Coords.: 290,730 	|| Size: 15x15
Claim ID: 106 	|| Coords.: 572,117 	|| Size: 24x26
Claim ID: 107 	|| Coords.: 120,716 	|| Size: 16x21
Claim ID: 108 	|| Coords.: 813,426 	|| Size: 21x13
Claim ID: 109 	|| Coords.: 307,722 	|| Size: 20x19
Claim ID: 110 	|| Coords.: 682,79 	|| Size: 13x22
Claim ID: 111 	|| Coords.: 798,874 	|| Size: 10x23
Claim ID: 112 	|| Coords.: 350,649 	|| Size: 25x16
Claim ID: 113 	|| Coords.: 296,395 	|| Size: 24x21
Claim ID: 114 	|| Coords.: 77,276 	|| Size: 21x14
Claim ID: 115 	|| Coords.: 229,966 	|| Size: 11x19
Claim ID: 116 	|| Coords.: 231,853 	|| Size: 14x26
Claim ID: 117 	|| Coords.: 139,928 	|| Size: 23x10
Claim ID: 118 	|| Coords.: 674,414 	|| Size: 10x11
Claim ID: 119 	|| Coords.: 47,206 	|| Size: 12x29
Claim ID: 120 	|| Coords.: 250,271 	|| Size: 18x19
Claim ID: 121 	|| Coords.: 435,917 	|| Size: 14x17
Claim ID: 122 	|| Coords.: 980,804 	|| Size: 17x26
Claim ID: 123 	|| Coords.: 237,245 	|| Size: 16x25
Claim ID: 124 	|| Coords.: 828,570 	|| Size: 14x12
Claim ID: 125 	|| Coords.: 869,3 	|| Size: 29x22
Claim ID: 126 	|| Coords.: 54,700 	|| Size: 26x11
Claim ID: 127 	|| Coords.: 935,928 	|| Size: 17x18
Claim ID: 128 	|| Coords.: 749,947 	|| Size: 17x18
Claim ID: 129 	|| Coords.: 399,463 	|| Size: 20x20
Claim ID: 130 	|| Coords.: 912,18 	|| Size: 23x19
Claim ID: 131 	|| Coords.: 26,104 	|| Size: 12x27
Claim ID: 132 	|| Coords.: 899,57 	|| Size: 22x14
Claim ID: 133 	|| Coords.: 413,89 	|| Size: 15x25
Claim ID: 134 	|| Coords.: 975,301 	|| Size: 23x29
Claim ID: 135 	|| Coords.: 339,362 	|| Size: 27x23
Claim ID: 136 	|| Coords.: 556,646 	|| Size: 19x10
Claim ID: 137 	|| Coords.: 291,422 	|| Size: 21x28
Claim ID: 138 	|| Coords.: 2,758 	|| Size: 13x21
Claim ID: 139 	|| Coords.: 654,286 	|| Size: 29x19
Claim ID: 140 	|| Coords.: 412,480 	|| Size: 16x13
Claim ID: 141 	|| Coords.: 952,133 	|| Size: 15x15
Claim ID: 142 	|| Coords.: 445,925 	|| Size: 24x27
Claim ID: 143 	|| Coords.: 174,335 	|| Size: 12x26
Claim ID: 144 	|| Coords.: 741,370 	|| Size: 14x22
Claim ID: 145 	|| Coords.: 219,699 	|| Size: 26x19
Claim ID: 146 	|| Coords.: 468,838 	|| Size: 24x17
Claim ID: 147 	|| Coords.: 234,630 	|| Size: 26x10
Claim ID: 148 	|| Coords.: 189,660 	|| Size: 13x29
Claim ID: 149 	|| Coords.: 724,682 	|| Size: 13x23
Claim ID: 150 	|| Coords.: 966,202 	|| Size: 15x23
Claim ID: 151 	|| Coords.: 864,839 	|| Size: 26x22
Claim ID: 152 	|| Coords.: 326,574 	|| Size: 17x15
Claim ID: 153 	|| Coords.: 108,713 	|| Size: 21x13
Claim ID: 154 	|| Coords.: 449,903 	|| Size: 26x24
Claim ID: 155 	|| Coords.: 971,67 	|| Size: 16x28
Claim ID: 156 	|| Coords.: 88,366 	|| Size: 10x17
Claim ID: 157 	|| Coords.: 244,582 	|| Size: 19x11
Claim ID: 158 	|| Coords.: 348,358 	|| Size: 25x16
Claim ID: 159 	|| Coords.: 223,834 	|| Size: 10x20
Claim ID: 160 	|| Coords.: 813,659 	|| Size: 22x17
Claim ID: 161 	|| Coords.: 780,128 	|| Size: 22x23
Claim ID: 162 	|| Coords.: 806,867 	|| Size: 23x15
Claim ID: 163 	|| Coords.: 896,146 	|| Size: 23x22
Claim ID: 164 	|| Coords.: 875,717 	|| Size: 25x23
Claim ID: 165 	|| Coords.: 777,22 	|| Size: 16x26
Claim ID: 166 	|| Coords.: 756,866 	|| Size: 15x25
Claim ID: 167 	|| Coords.: 103,348 	|| Size: 14x27
Claim ID: 168 	|| Coords.: 722,726 	|| Size: 27x10
Claim ID: 169 	|| Coords.: 772,739 	|| Size: 17x15
Claim ID: 170 	|| Coords.: 392,976 	|| Size: 26x20
Claim ID: 171 	|| Coords.: 18,486 	|| Size: 25x21
Claim ID: 172 	|| Coords.: 632,260 	|| Size: 21x28
Claim ID: 173 	|| Coords.: 901,137 	|| Size: 15x10
Claim ID: 174 	|| Coords.: 473,723 	|| Size: 11x13
Claim ID: 175 	|| Coords.: 973,675 	|| Size: 21x24
Claim ID: 176 	|| Coords.: 610,890 	|| Size: 17x18
Claim ID: 177 	|| Coords.: 691,584 	|| Size: 11x18
Claim ID: 178 	|| Coords.: 734,599 	|| Size: 18x23
Claim ID: 179 	|| Coords.: 671,378 	|| Size: 16x21
Claim ID: 180 	|| Coords.: 816,195 	|| Size: 28x24
Claim ID: 181 	|| Coords.: 811,183 	|| Size: 25x27
Claim ID: 182 	|| Coords.: 436,670 	|| Size: 22x10
Claim ID: 183 	|| Coords.: 450,560 	|| Size: 17x18
Claim ID: 184 	|| Coords.: 325,628 	|| Size: 26x19
Claim ID: 185 	|| Coords.: 126,249 	|| Size: 10x14
Claim ID: 186 	|| Coords.: 768,451 	|| Size: 29x26
Claim ID: 187 	|| Coords.: 933,129 	|| Size: 13x27
Claim ID: 188 	|| Coords.: 91,847 	|| Size: 26x23
Claim ID: 189 	|| Coords.: 219,317 	|| Size: 11x27
Claim ID: 190 	|| Coords.: 53,666 	|| Size: 21x19
Claim ID: 191 	|| Coords.: 443,487 	|| Size: 29x19
Claim ID: 192 	|| Coords.: 221,757 	|| Size: 22x15
Claim ID: 193 	|| Coords.: 393,974 	|| Size: 22x12
Claim ID: 194 	|| Coords.: 208,678 	|| Size: 19x14
Claim ID: 195 	|| Coords.: 436,566 	|| Size: 11x11
Claim ID: 196 	|| Coords.: 576,436 	|| Size: 26x11
Claim ID: 197 	|| Coords.: 376,645 	|| Size: 28x19
Claim ID: 198 	|| Coords.: 698,483 	|| Size: 10x10
Claim ID: 199 	|| Coords.: 884,858 	|| Size: 21x21
Claim ID: 200 	|| Coords.: 758,326 	|| Size: 23x23
Claim ID: 201 	|| Coords.: 165,127 	|| Size: 22x25
Claim ID: 202 	|| Coords.: 211,856 	|| Size: 26x29
Claim ID: 203 	|| Coords.: 552,93 	|| Size: 11x12
Claim ID: 204 	|| Coords.: 206,240 	|| Size: 22x13
Claim ID: 205 	|| Coords.: 171,320 	|| Size: 10x10
Claim ID: 206 	|| Coords.: 765,971 	|| Size: 26x26
Claim ID: 207 	|| Coords.: 18,605 	|| Size: 20x16
Claim ID: 208 	|| Coords.: 217,636 	|| Size: 10x26
Claim ID: 209 	|| Coords.: 590,358 	|| Size: 7x9
Claim ID: 210 	|| Coords.: 158,266 	|| Size: 29x24
Claim ID: 211 	|| Coords.: 394,560 	|| Size: 17x24
Claim ID: 212 	|| Coords.: 714,530 	|| Size: 13x15
Claim ID: 213 	|| Coords.: 751,95 	|| Size: 7x7
Claim ID: 214 	|| Coords.: 503,80 	|| Size: 15x18
Claim ID: 215 	|| Coords.: 387,661 	|| Size: 17x28
Claim ID: 216 	|| Coords.: 695,157 	|| Size: 21x25
Claim ID: 217 	|| Coords.: 324,564 	|| Size: 19x20
Claim ID: 218 	|| Coords.: 546,574 	|| Size: 25x13
Claim ID: 219 	|| Coords.: 360,735 	|| Size: 10x15
Claim ID: 220 	|| Coords.: 765,177 	|| Size: 28x28
Claim ID: 221 	|| Coords.: 629,594 	|| Size: 17x7
Claim ID: 222 	|| Coords.: 401,359 	|| Size: 26x12
Claim ID: 223 	|| Coords.: 76,834 	|| Size: 10x19
Claim ID: 224 	|| Coords.: 82,370 	|| Size: 16x14
Claim ID: 225 	|| Coords.: 232,620 	|| Size: 20x14
Claim ID: 226 	|| Coords.: 573,820 	|| Size: 16x29
Claim ID: 227 	|| Coords.: 416,201 	|| Size: 27x16
Claim ID: 228 	|| Coords.: 967,577 	|| Size: 27x11
Claim ID: 229 	|| Coords.: 321,728 	|| Size: 21x27
Claim ID: 230 	|| Coords.: 537,211 	|| Size: 15x12
Claim ID: 231 	|| Coords.: 926,247 	|| Size: 12x20
Claim ID: 232 	|| Coords.: 345,473 	|| Size: 14x26
Claim ID: 233 	|| Coords.: 307,971 	|| Size: 27x20
Claim ID: 234 	|| Coords.: 439,541 	|| Size: 26x19
Claim ID: 235 	|| Coords.: 822,245 	|| Size: 28x15
Claim ID: 236 	|| Coords.: 770,397 	|| Size: 28x14
Claim ID: 237 	|| Coords.: 704,526 	|| Size: 17x12
Claim ID: 238 	|| Coords.: 477,803 	|| Size: 28x22
Claim ID: 239 	|| Coords.: 293,285 	|| Size: 10x14
Claim ID: 240 	|| Coords.: 693,690 	|| Size: 10x21
Claim ID: 241 	|| Coords.: 38,440 	|| Size: 27x18
Claim ID: 242 	|| Coords.: 593,349 	|| Size: 25x28
Claim ID: 243 	|| Coords.: 301,721 	|| Size: 11x21
Claim ID: 244 	|| Coords.: 292,966 	|| Size: 21x29
Claim ID: 245 	|| Coords.: 208,116 	|| Size: 13x23
Claim ID: 246 	|| Coords.: 943,494 	|| Size: 21x13
Claim ID: 247 	|| Coords.: 283,20 	|| Size: 24x18
Claim ID: 248 	|| Coords.: 759,962 	|| Size: 22x13
Claim ID: 249 	|| Coords.: 15,555 	|| Size: 13x14
Claim ID: 250 	|| Coords.: 650,842 	|| Size: 24x12
Claim ID: 251 	|| Coords.: 908,402 	|| Size: 28x23
Claim ID: 252 	|| Coords.: 762,533 	|| Size: 18x20
Claim ID: 253 	|| Coords.: 570,425 	|| Size: 21x14
Claim ID: 254 	|| Coords.: 412,175 	|| Size: 12x25
Claim ID: 255 	|| Coords.: 671,861 	|| Size: 16x25
Claim ID: 256 	|| Coords.: 828,31 	|| Size: 15x27
Claim ID: 257 	|| Coords.: 227,57 	|| Size: 24x20
Claim ID: 258 	|| Coords.: 951,798 	|| Size: 13x28
Claim ID: 259 	|| Coords.: 943,216 	|| Size: 15x10
Claim ID: 260 	|| Coords.: 125,749 	|| Size: 21x20
Claim ID: 261 	|| Coords.: 821,96 	|| Size: 15x15
Claim ID: 262 	|| Coords.: 264,838 	|| Size: 21x25
Claim ID: 263 	|| Coords.: 366,809 	|| Size: 29x13
Claim ID: 264 	|| Coords.: 370,974 	|| Size: 26x14
Claim ID: 265 	|| Coords.: 210,135 	|| Size: 21x16
Claim ID: 266 	|| Coords.: 347,856 	|| Size: 20x23
Claim ID: 267 	|| Coords.: 280,846 	|| Size: 23x24
Claim ID: 268 	|| Coords.: 755,824 	|| Size: 26x19
Claim ID: 269 	|| Coords.: 149,949 	|| Size: 16x10
Claim ID: 270 	|| Coords.: 155,582 	|| Size: 18x29
Claim ID: 271 	|| Coords.: 761,188 	|| Size: 12x10
Claim ID: 272 	|| Coords.: 918,153 	|| Size: 17x29
Claim ID: 273 	|| Coords.: 846,637 	|| Size: 4x3
Claim ID: 274 	|| Coords.: 25,748 	|| Size: 26x26
Claim ID: 275 	|| Coords.: 735,232 	|| Size: 28x10
Claim ID: 276 	|| Coords.: 64,63 	|| Size: 16x14
Claim ID: 277 	|| Coords.: 311,216 	|| Size: 11x27
Claim ID: 278 	|| Coords.: 331,165 	|| Size: 16x21
Claim ID: 279 	|| Coords.: 55,953 	|| Size: 22x20
Claim ID: 280 	|| Coords.: 890,125 	|| Size: 27x25
Claim ID: 281 	|| Coords.: 121,177 	|| Size: 16x28
Claim ID: 282 	|| Coords.: 276,222 	|| Size: 21x11
Claim ID: 283 	|| Coords.: 602,197 	|| Size: 24x19
Claim ID: 284 	|| Coords.: 493,73 	|| Size: 22x25
Claim ID: 285 	|| Coords.: 760,953 	|| Size: 12x27
Claim ID: 286 	|| Coords.: 923,864 	|| Size: 11x29
Claim ID: 287 	|| Coords.: 517,10 	|| Size: 27x19
Claim ID: 288 	|| Coords.: 353,502 	|| Size: 13x8
Claim ID: 289 	|| Coords.: 679,766 	|| Size: 19x29
Claim ID: 290 	|| Coords.: 577,121 	|| Size: 14x16
Claim ID: 291 	|| Coords.: 308,176 	|| Size: 12x22
Claim ID: 292 	|| Coords.: 691,114 	|| Size: 10x20
Claim ID: 293 	|| Coords.: 760,360 	|| Size: 21x27
Claim ID: 294 	|| Coords.: 126,698 	|| Size: 29x23
Claim ID: 295 	|| Coords.: 921,36 	|| Size: 24x12
Claim ID: 296 	|| Coords.: 547,138 	|| Size: 22x16
Claim ID: 297 	|| Coords.: 438,567 	|| Size: 17x16
Claim ID: 298 	|| Coords.: 549,572 	|| Size: 21x11
Claim ID: 299 	|| Coords.: 380,900 	|| Size: 26x22
Claim ID: 300 	|| Coords.: 628,604 	|| Size: 11x12
Claim ID: 301 	|| Coords.: 44,63 	|| Size: 27x25
Claim ID: 302 	|| Coords.: 933,911 	|| Size: 25x27
Claim ID: 303 	|| Coords.: 925,640 	|| Size: 13x19
Claim ID: 304 	|| Coords.: 870,217 	|| Size: 10x23
Claim ID: 305 	|| Coords.: 27,668 	|| Size: 27x11
Claim ID: 306 	|| Coords.: 822,85 	|| Size: 28x12
Claim ID: 307 	|| Coords.: 465,549 	|| Size: 14x27
Claim ID: 308 	|| Coords.: 398,781 	|| Size: 27x27
Claim ID: 309 	|| Coords.: 285,702 	|| Size: 6x5
Claim ID: 310 	|| Coords.: 802,179 	|| Size: 19x19
Claim ID: 311 	|| Coords.: 608,863 	|| Size: 23x17
Claim ID: 312 	|| Coords.: 855,644 	|| Size: 12x22
Claim ID: 313 	|| Coords.: 238,931 	|| Size: 23x27
Claim ID: 314 	|| Coords.: 400,613 	|| Size: 14x29
Claim ID: 315 	|| Coords.: 308,590 	|| Size: 20x20
Claim ID: 316 	|| Coords.: 630,811 	|| Size: 12x25
Claim ID: 317 	|| Coords.: 11,552 	|| Size: 10x26
Claim ID: 318 	|| Coords.: 218,598 	|| Size: 13x25
Claim ID: 319 	|| Coords.: 480,722 	|| Size: 3x3
Claim ID: 320 	|| Coords.: 216,754 	|| Size: 21x28
Claim ID: 321 	|| Coords.: 468,559 	|| Size: 7x13
Claim ID: 322 	|| Coords.: 761,803 	|| Size: 20x26
Claim ID: 323 	|| Coords.: 378,457 	|| Size: 18x19
Claim ID: 324 	|| Coords.: 955,346 	|| Size: 15x26
Claim ID: 325 	|| Coords.: 715,398 	|| Size: 27x15
Claim ID: 326 	|| Coords.: 889,720 	|| Size: 13x19
Claim ID: 327 	|| Coords.: 681,773 	|| Size: 12x6
Claim ID: 328 	|| Coords.: 897,259 	|| Size: 10x10
Claim ID: 329 	|| Coords.: 102,600 	|| Size: 15x26
Claim ID: 330 	|| Coords.: 901,267 	|| Size: 23x27
Claim ID: 331 	|| Coords.: 103,287 	|| Size: 29x13
Claim ID: 332 	|| Coords.: 727,827 	|| Size: 21x28
Claim ID: 333 	|| Coords.: 659,512 	|| Size: 28x19
Claim ID: 334 	|| Coords.: 99,135 	|| Size: 12x6
Claim ID: 335 	|| Coords.: 584,731 	|| Size: 26x25
Claim ID: 336 	|| Coords.: 934,936 	|| Size: 27x16
Claim ID: 337 	|| Coords.: 304,185 	|| Size: 29x20
Claim ID: 338 	|| Coords.: 780,278 	|| Size: 27x28
Claim ID: 339 	|| Coords.: 898,757 	|| Size: 24x28
Claim ID: 340 	|| Coords.: 342,280 	|| Size: 15x11
Claim ID: 341 	|| Coords.: 402,622 	|| Size: 10x25
Claim ID: 342 	|| Coords.: 747,378 	|| Size: 14x25
Claim ID: 343 	|| Coords.: 258,351 	|| Size: 26x29
Claim ID: 344 	|| Coords.: 587,883 	|| Size: 14x10
Claim ID: 345 	|| Coords.: 322,180 	|| Size: 22x17
Claim ID: 346 	|| Coords.: 393,85 	|| Size: 18x12
Claim ID: 347 	|| Coords.: 934,891 	|| Size: 12x18
Claim ID: 348 	|| Coords.: 684,169 	|| Size: 10x21
Claim ID: 349 	|| Coords.: 107,487 	|| Size: 24x11
Claim ID: 350 	|| Coords.: 586,651 	|| Size: 15x19
Claim ID: 351 	|| Coords.: 923,691 	|| Size: 10x26
Claim ID: 352 	|| Coords.: 406,866 	|| Size: 17x21
Claim ID: 353 	|| Coords.: 232,800 	|| Size: 17x14
Claim ID: 354 	|| Coords.: 522,189 	|| Size: 16x11
Claim ID: 355 	|| Coords.: 488,939 	|| Size: 18x27
Claim ID: 356 	|| Coords.: 954,147 	|| Size: 27x15
Claim ID: 357 	|| Coords.: 332,401 	|| Size: 19x20
Claim ID: 358 	|| Coords.: 54,62 	|| Size: 20x10
Claim ID: 359 	|| Coords.: 82,398 	|| Size: 22x29
Claim ID: 360 	|| Coords.: 107,622 	|| Size: 19x13
Claim ID: 361 	|| Coords.: 927,319 	|| Size: 13x14
Claim ID: 362 	|| Coords.: 274,12 	|| Size: 29x25
Claim ID: 363 	|| Coords.: 556,768 	|| Size: 22x22
Claim ID: 364 	|| Coords.: 863,515 	|| Size: 26x23
Claim ID: 365 	|| Coords.: 450,964 	|| Size: 15x28
Claim ID: 366 	|| Coords.: 654,791 	|| Size: 17x14
Claim ID: 367 	|| Coords.: 18,47 	|| Size: 20x18
Claim ID: 368 	|| Coords.: 282,547 	|| Size: 12x28
Claim ID: 369 	|| Coords.: 937,502 	|| Size: 25x28
Claim ID: 370 	|| Coords.: 379,278 	|| Size: 13x21
Claim ID: 371 	|| Coords.: 337,749 	|| Size: 11x21
Claim ID: 372 	|| Coords.: 265,746 	|| Size: 26x14
Claim ID: 373 	|| Coords.: 552,166 	|| Size: 27x26
Claim ID: 374 	|| Coords.: 123,722 	|| Size: 20x15
Claim ID: 375 	|| Coords.: 10,654 	|| Size: 13x5
Claim ID: 376 	|| Coords.: 522,741 	|| Size: 10x16
Claim ID: 377 	|| Coords.: 927,253 	|| Size: 29x10
Claim ID: 378 	|| Coords.: 967,188 	|| Size: 27x22
Claim ID: 379 	|| Coords.: 38,680 	|| Size: 22x22
Claim ID: 380 	|| Coords.: 629,957 	|| Size: 19x29
Claim ID: 381 	|| Coords.: 512,500 	|| Size: 27x14
Claim ID: 382 	|| Coords.: 811,903 	|| Size: 25x23
Claim ID: 383 	|| Coords.: 458,734 	|| Size: 18x19
Claim ID: 384 	|| Coords.: 256,848 	|| Size: 29x26
Claim ID: 385 	|| Coords.: 444,834 	|| Size: 28x12
Claim ID: 386 	|| Coords.: 295,399 	|| Size: 23x13
Claim ID: 387 	|| Coords.: 371,296 	|| Size: 19x23
Claim ID: 388 	|| Coords.: 71,566 	|| Size: 13x26
Claim ID: 389 	|| Coords.: 844,868 	|| Size: 20x16
Claim ID: 390 	|| Coords.: 891,172 	|| Size: 28x16
Claim ID: 391 	|| Coords.: 787,45 	|| Size: 19x16
Claim ID: 392 	|| Coords.: 136,452 	|| Size: 18x18
Claim ID: 393 	|| Coords.: 333,482 	|| Size: 14x29
Claim ID: 394 	|| Coords.: 136,924 	|| Size: 13x17
Claim ID: 395 	|| Coords.: 721,476 	|| Size: 22x29
Claim ID: 396 	|| Coords.: 504,510 	|| Size: 15x25
Claim ID: 397 	|| Coords.: 923,457 	|| Size: 21x16
Claim ID: 398 	|| Coords.: 856,207 	|| Size: 16x16
Claim ID: 399 	|| Coords.: 322,499 	|| Size: 19x10
Claim ID: 400 	|| Coords.: 191,957 	|| Size: 16x17
Claim ID: 401 	|| Coords.: 315,35 	|| Size: 12x15
Claim ID: 402 	|| Coords.: 688,362 	|| Size: 15x14
Claim ID: 403 	|| Coords.: 437,438 	|| Size: 20x28
Claim ID: 404 	|| Coords.: 701,250 	|| Size: 12x19
Claim ID: 405 	|| Coords.: 538,644 	|| Size: 15x25
Claim ID: 406 	|| Coords.: 475,548 	|| Size: 23x22
Claim ID: 407 	|| Coords.: 324,296 	|| Size: 21x29
Claim ID: 408 	|| Coords.: 587,668 	|| Size: 27x28
Claim ID: 409 	|| Coords.: 839,631 	|| Size: 22x27
Claim ID: 410 	|| Coords.: 563,678 	|| Size: 15x12
Claim ID: 411 	|| Coords.: 201,759 	|| Size: 22x10
Claim ID: 412 	|| Coords.: 581,975 	|| Size: 23x12
Claim ID: 413 	|| Coords.: 357,801 	|| Size: 11x15
Claim ID: 414 	|| Coords.: 688,497 	|| Size: 10x25
Claim ID: 415 	|| Coords.: 754,950 	|| Size: 5x10
Claim ID: 416 	|| Coords.: 148,157 	|| Size: 29x13
Claim ID: 417 	|| Coords.: 965,652 	|| Size: 20x18
Claim ID: 418 	|| Coords.: 848,919 	|| Size: 12x11
Claim ID: 419 	|| Coords.: 887,765 	|| Size: 25x18
Claim ID: 420 	|| Coords.: 110,7 	|| Size: 13x25
Claim ID: 421 	|| Coords.: 750,847 	|| Size: 10x25
Claim ID: 422 	|| Coords.: 805,859 	|| Size: 18x20
Claim ID: 423 	|| Coords.: 522,312 	|| Size: 21x27
